[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.015095s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_end ] --START--
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001597s ]
[ 2014-03-21T10:40:46+08:00 ] /tp_test/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001790s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --START--
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008474s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008920s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_select_db(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 61 行.
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_query(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 91 行.
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_template ] --START--
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run LocationTemplate Behavior [ RunTime:0.013913s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_template ] --END-- [ RunTime:0.014115s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_parse ] --START--
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ParseTemplate Behavior [ RunTime:0.054489s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_parse ] --END-- [ RunTime:0.054683s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_filter ] --START--
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ContentReplace Behavior [ RunTime:0.024052s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run TokenBuild Behavior [ RunTime:0.009844s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007388s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ShowRuntime Behavior [ RunTime:0.005882s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_filter ] --END-- [ RunTime:0.048053s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_end ] --START--
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ShowPageTrace Behavior [ RunTime:0.010914s ]
[ 2014-03-21T10:49:46+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ view_end ] --END-- [ RunTime:0.011209s ]
[ 2014-03-21T10:49:48+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --START--
[ 2014-03-21T10:49:48+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007468s ]
[ 2014-03-21T10:49:48+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008004s ]
[ 2014-03-21T10:49:48+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-21T10:49:48+08:00 ] /tp_test/Index.php?m=Index&a=tuijian | NOTIC: [2] mysql_select_db(): supplied argument is not a valid MySQL-Link resource SessionDb.class.php 第 61 行.
